seq,secs,nsecs,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,time
17519,1614000095,969589052,1.68436551094,0.446449875832,0,0,0,-0.289853354991,0.957071069775,1614000095.96959
17520,1614000096,29589052,1.68440139294,0.446425974369,0,0,0,-0.290011596303,0.957023131387,1614000096.02959
17521,1614000096,89589052,1.68437194824,0.446445673704,0,0,0,-0.290169487445,0.956975270608,1614000096.08959
17522,1614000096,149589052,1.68431305885,0.446485102177,0,0,0,-0.290485246029,0.956879470905,1614000096.14959
17523,1614000096,207700052,1.68431305885,0.446485102177,0,0,0,-0.290485246029,0.956879470905,1614000096.2077
17524,1614000096,267700052,1.68431305885,0.446485102177,0,0,0,-0.290485246029,0.956879470905,1614000096.2677
17525,1614000096,327700052,1.68431305885,0.446485102177,0,0,0,-0.290485246029,0.956879470905,1614000096.3277
17526,1614000096,387700052,1.68431305885,0.446485102177,0,0,0,-0.290485246029,0.956879470905,1614000096.3877
17527,1614000096,447700052,1.68431305885,0.446485102177,0,0,0,-0.290485246029,0.956879470905,1614000096.4477
17528,1614000096,507700052,1.684420228,0.446413308382,0,0,0,-0.290958853104,0.956735567333,1614000096.5077
17529,1614000096,567700052,1.68618857861,0.445211112499,0,0,0,-0.295060771873,0.955478487933,1614000096.5677
17530,1614000096,627700052,1.69091010094,0.441962271929,0,0,0,-0.296795067658,0.954941195998,1614000096.6277
17531,1614000096,687700052,1.70027852058,0.435528159142,0,0,0,-0.296164768206,0.955136864577,1614000096.6877
17532,1614000096,747700052,1.7154866457,0.425120949745,0,0,0,-0.295533998102,0.955332222824,1614000096.7477
17533,1614000096,807700052,1.73591959476,0.411141395569,0,0,0,-0.295376719637,0.955380863057,1614000096.8077
17534,1614000096,867700052,1.76015722752,0.394625306129,0,0,0,-0.294430431495,0.955672915285,1614000096.8677
17535,1614000096,927700052,1.78594505787,0.377102524042,0,0,0,-0.293641599435,0.955915587843,1614000096.9277
17536,1614000096,987700052,1.81292998791,0.358787804842,0,0,0,-0.293799649644,0.95586702311,1614000096.9877
